DATE	SOURCE	Country	Language	Original Title	English Title	URL	Key Image
1/20/2025	Contacto	LU	PT	“Efeito Trump”. Cada vez mais norte-americanos procuram cidadania luxemburguesa	“Trump Effect”: More and more Americans are seeking Luxembourg citizenship	https://www.contacto.lu/luxemburgo/efeito-trump-.-cada-vez-mais-norte-americanos-procuram-cidadania-luxemburguesa/34863560.html	
11/8/2024	Lux Times	LU	EN	"Surge in Luxembourg citizenship enquiries following Trump win"	Surge in Luxembourg citizenship enquiries following Trump win	https://www.luxtimes.lu/world/surge-in-luxembourg-citizenship-enquiries-following-trump-win/25901621.html	
11/6/2024	Contacto	LU	PT	"O que é que a vitória de Donald Trump pode significar para o Luxemburgo?"	What could Donald Trump’s victory mean for Luxembourg?	https://www.contacto.lu/luxemburgo/o-que-e-que-a-vitoria-de-donald-trump-pode-significar-para-o-luxemburgo/25666284.html	
9/24/2024	Télécran	LU	DE	Die Mann für die Luxemburger Wurzeln	The man for the Luxembourgish Roots	(No Link)	
6/23/2024	Contacto	LU	PT	Luxemburgueses do Brasil querem fortalecer negócios com o Grão-Ducado	Luxembourgers in Brazil want to strengthen business ties with the Grand Duchy	https://www.contacto.lu/mundo/luxemburgueses-do-brasil-querem-fortalecer-negocios-com-o-grao-ducado/14500249.html	https://www.luxcitizenship.com/wp-content/uploads/2024/08/2024-08-28-at-13.13.51.png
5/27/2024	Lux Times	LU	EN	More Americans applied for Luxembourg citizenship after Roe v Wade overturn	More Americans applied for Luxembourg citizenship after Roe v Wade overturn	https://www.luxtimes.lu/luxembourg/more-americans-applied-for-luxembourg-citizenship-after-roe-v-wade-overturn/13274401.html	https://www.luxcitizenship.com/wp-content/uploads/2024/08/2024-08-28-at-13.15.06.png
5/24/2024	Contacto	LU	PT	Não para de crescer o número de americanos que pedem cidadania luxemburguesa	The number of Americans applying for Luxembourg citizenship keeps growing	https://www.contacto.lu/sociedade/nao-para-de-crescer-o-numero-de-americanos-que-pedem-cidadania-luxemburguesa/13163153.html	
1/23/2024	L'essentiel	LU	FR	«43 145 Luxembourgeois sont sur le continent américain»	“43,145 Luxembourgers are on the American continent”	https://www.lessentiel.lu/fr/story/population-43-145-luxembourgeois-sont-sur-le-continent-americain-103026159	https://www.luxcitizenship.com/wp-content/uploads/2024/08/2024-08-28-at-13.13.35.png
10/8/2023	CNN Brazil	BR	PT	Eleição em Luxemburgo, neste domingo (8), tem eleitorado e candidata brasileira	Election in Luxembourg this Sunday (8th) includes Brazilian voters and candidate	https://www.cnnbrasil.com.br/internacional/eleicao-em-luxemburgo-neste-domingo-8-tem-eleitorado-e-candidata-brasileira/	https://www.luxcitizenship.com/wp-content/uploads/2024/08/2024-08-28-at-13.19.14.png
8/27/2023	Folha de Sao Paulo	BR	PT	Políticos de Luxemburgo disputam votos de brasileiros com dupla cidadania	Luxembourg politicians compete for votes of Brazilians with dual citizenship	https://www1.folha.uol.com.br/mundo/2023/08/politicos-de-luxemburgo-disputam-votos-de-brasileiros-com-dupla-cidadania.shtml	https://www.luxcitizenship.com/wp-content/uploads/2024/08/2024-08-28-at-13.19.37.png
8/25/23	Lëtzebuerger Land	LU	FR	"Salut, les cousins !
"	"Hi, Cousins!"	https://www.land.lu/page/article/739/340739/DEU/index.html	
7/3/2023	Data.Public.Lu	LU	FR	"Sur la trace des Luxembourgeois outre-Atlantique
"	On the trail of Luxembourgers across the Atlantic	https://data.public.lu/fr/posts/sur-la-trace-des-luxembourgeois-outre-atlantique/	https://www.luxcitizenship.com/wp-content/uploads/2024/08/2024-08-28-at-13.10.06.png
6/6/2023	CafeBabel	IT	IT	Alla scoperta delle vite degli immigrati di prima generazione, lettera per lettera	Discovering the lives of first-generation immigrants, letter by letter	https://cafebabel.com/it/article/alla-scoperta-delle-vite-degli-immigrati-di-prima-generazione-lettera-per-lettera-6441aaac4c22f5b9ac1b654d/	
4/7/2023	Lëtzebuerger Land	LU	FR	Transatlantique électorale	Transatlantic election	https://www.land.lu/page/article/306/340306/DEU/index.html	https://www.luxcitizenship.com/wp-content/uploads/2024/08/2024-08-28-at-13.15.21.png
3/7/2023	Rio Mafra Mix	BR	PT	Associação promove evento sobre cidadania luxemburguesa em Rio Negro	Association promotes event on Luxembourgish citizenship in Rio Negro	https://www.riomaframix.com.br/rio-negro/associacao-promove-evento-sobre-cidadania-luxemburguesa-em-rio-negro/	
3/7/2023	ClickRioMafra	BR	PT	Prefeitura de Rio Negro apresenta potenciais do município a uma comitiva de Luxemburgo	Rio Negro City Hall presents municipality’s potential to a Luxembourg delegation	https://www.clickriomafra.com.br/noticias/rio-negro/prefeitura-de-rio-negro-apresenta-potenciais-do-municipio-a-uma-comitiva-de-luxemburgo/	
3/3/23	Lëtzebuerger Land	LU	FR	La Cinquième Circonscription	The Fifth Constituency	https://www.land.lu/page/article/171/340171/DEU/index.html	
2/22/2022	PolyPasspot	US	EN	Luxembourg's Last Call for Citizenship By Descent	Luxembourg's Last Call for Citizenship By Descent	https://www.polypassport.com/p/luxembourgs-last-call-citizenship-descent	
5/16/2021	RTL	LU	LU	Verschiddener wëllen heihinner wunne kommen	Several want to come live here	https://www.rtl.lu/news/national/a/1722888.html	
6/1/2020	RTL	LU	EN	Coronavirus complications for Luxembourg nationality applications	Coronavirus complications for Luxembourg nationality applications	https://today.rtl.lu/dossier/tdf/news/a/1527352.html	
5/30/2020	RTL	LU	LU	Komplikatioune beim Ufroe vu Lëtzebuerger Nationalitéit	Complications in applying for Luxembourgish nationality	https://www.rtl.lu/news/national/a/1526814.html	
1/8/2019	RTL	LU	LU	1.465 Amerikaner hunn d'Lëtzebuerger Nationalitéit ugeholl	1,465 Americans have acquired Luxembourgish nationality	https://www.rtl.lu/news/national/a/1289532.html	
2/21/2018	CleanTechIQ	US	En	European CleanTech Companies Face IP Hurdles When Expanding in U.S.	European CleanTech Companies Face IP Hurdles When Expanding in U.S.	https://cleantechiq.com/2018/02/european-cleantech-companies-face-ip-hurdles-when-expanding-in-u-s/	
1/19/2018	RTL	LU	LU	Daniel Atz trëfft op seng Lëtzebuerger Famill	Daniel Atz meets his Luxembourgish family	https://www.rtl.lu/lifestyle/news/a/1115520.html	
10/26/2017	RTL	LU	LU	Ëmmer méi Amerikaner wëlle Lëtzebuerger ginn	More and more Americans want to become Luxembourgers	https://www.rtl.lu/lifestyle/news/a/1087202.html	
